iter	MultiClass
0	1.062025014
1	1.032284742
2	1.003326796
3	0.9783456418
4	0.9573531654
5	0.9386008256
6	0.9215502673
7	0.9049038209
8	0.8918079324
9	0.8795970247
10	0.8691028992
11	0.858316188
12	0.8469641804
13	0.8382572676
14	0.8291726734
15	0.8216921695
16	0.8139885228
17	0.8062064194
18	0.7998949434
19	0.7932980873
20	0.787604123
21	0.782146084
22	0.7761879408
23	0.7702996428
24	0.7643666326
25	0.7595152342
26	0.7543326286
27	0.7492477981
28	0.7445646348
29	0.7402413033
30	0.7361909016
31	0.7315399921
32	0.7269885612
33	0.7237250066
34	0.7199907916
35	0.7168107424
36	0.7126502176
37	0.7095016761
38	0.7061572109
39	0.7026891869
40	0.6993733152
41	0.696659726
42	0.6938647894
43	0.6904368982
44	0.6873201701
45	0.6847542059
46	0.6818617628
47	0.6792027967
48	0.676142149
49	0.6738595598
50	0.6720174966
51	0.6694135465
52	0.6672720493
53	0.6649588688
54	0.6626637663
55	0.6604040362
56	0.6580656712
57	0.6562043974
58	0.65419913
59	0.6524188576
60	0.6500510381
61	0.6475686383
62	0.6452497636
63	0.6431457591
64	0.6410020508
65	0.6391606383
66	0.6371526072
67	0.6352593473
68	0.6338025969
69	0.6321748085
70	0.6301505427
71	0.6286785884
72	0.6268845473
73	0.6253301863
74	0.6236667102
75	0.6221797135
76	0.6204553801
77	0.6187338382
78	0.6172950746
79	0.615985455
80	0.6141824899
81	0.6126141735
82	0.6109579152
83	0.6096960641
84	0.6082603998
85	0.6069387121
86	0.6057271055
87	0.6044346011
88	0.6029120788
89	0.6016623361
90	0.6004795278
91	0.5989647662
92	0.5977635476
93	0.596552873
94	0.5953210957
95	0.5941052887
96	0.5927386432
97	0.591502509
98	0.590318649
99	0.5888741283
100	0.5877062567
101	0.5866452548
102	0.5855776745
103	0.5844073283
104	0.5831523081
105	0.5819083815
106	0.5807448527
107	0.5796626237
108	0.5788716803
109	0.5779312327
110	0.5769706583
111	0.5758252223
112	0.5749416355
113	0.5740307193
114	0.5727735057
115	0.5718609484
116	0.570631499
117	0.5695581646
118	0.5686726358
119	0.5676050284
120	0.5662182916
121	0.5654402987
122	0.5645005914
123	0.5637026284
124	0.5627557665
125	0.5616411303
126	0.5606621012
127	0.5598121979
128	0.5588967704
129	0.5579530732
130	0.5569936573
131	0.5561108429
132	0.5552862062
133	0.5545383362
134	0.5537105153
135	0.5529903431
136	0.5519019057
137	0.5507053272
138	0.5498393882
139	0.5490434083
140	0.5481831183
141	0.5474669825
142	0.5464705864
143	0.5459297774
144	0.5452473825
145	0.5443763707
146	0.5437054769
147	0.5429562921
148	0.5420436461
149	0.5414443668
150	0.540422545
151	0.5395408858
152	0.5386563573
153	0.5378339268
154	0.5368387559
155	0.5361428056
156	0.5352096201
157	0.5343981121
158	0.5337456046
159	0.5330925441
160	0.5322387115
161	0.5315727403
162	0.530916659
163	0.5300640969
164	0.5290641018
165	0.5284965158
166	0.5276792658
167	0.5270729542
168	0.5263703066
169	0.5256884859
170	0.525123145
171	0.5245306163
172	0.5237004863
173	0.522965059
174	0.5223376202
175	0.521612077
176	0.5209264379
177	0.520345838
178	0.5194617838
179	0.5186477077
180	0.5181117753
181	0.5173079183
182	0.5165317739
183	0.5157132393
184	0.514842826
185	0.5142548529
186	0.5137079398
187	0.5130197782
188	0.5123650189
189	0.5116695013
190	0.5109044827
191	0.5099440502
192	0.5092489747
193	0.5085751731
194	0.5080859337
195	0.5074587291
196	0.5067715321
197	0.5062616963
198	0.505692845
199	0.5051026886
200	0.5045919594
201	0.5039750853
202	0.5035512725
203	0.5030152333
204	0.5022522571
205	0.5016307982
206	0.5009630438
207	0.5004211521
208	0.4999179239
209	0.499159236
210	0.4985521369
211	0.4980089575
212	0.4976255345
213	0.49718057
214	0.4967475029
215	0.4962208911
216	0.495701075
217	0.4951498486
218	0.4944949599
219	0.4937111737
220	0.4931162772
221	0.4926159313
222	0.4921124703
223	0.4915222693
224	0.4909558738
225	0.4903377664
226	0.4898373937
227	0.4891940636
228	0.4886228269
229	0.4880088395
230	0.4873249437
231	0.4868031188
232	0.4862140937
233	0.4857900391
234	0.4852547925
235	0.4846862906
236	0.4841529364
237	0.4835569206
238	0.4831763526
239	0.4825160449
240	0.482127726
241	0.4817486451
242	0.4811001407
243	0.4805280968
244	0.480101695
245	0.4796810749
246	0.4790524232
247	0.4785169275
248	0.4779658243
249	0.4772878318
250	0.4768070658
251	0.4763531732
252	0.475720101
253	0.4752352046
254	0.4746430378
255	0.4742454742
256	0.4736047921
257	0.4730806962
258	0.4726332322
259	0.4721273653
260	0.4718224554
261	0.4711866885
262	0.4708149376
263	0.470243065
264	0.4695008439
265	0.4690859772
266	0.468637607
267	0.4681052794
268	0.4676961849
269	0.4671855475
270	0.4667072332
271	0.466346425
272	0.4658691517
273	0.4653021156
274	0.464720017
275	0.4641031307
276	0.4635702532
277	0.4631403125
278	0.4624543769
279	0.4619140122
280	0.4614085395
281	0.4610959845
282	0.4603082728
283	0.4598759864
284	0.4594947871
285	0.4589726379
286	0.4584733653
287	0.4581032786
288	0.4574129324
289	0.4569971514
290	0.4564417675
291	0.4560066328
292	0.45554732
293	0.4551594507
294	0.4546491812
295	0.4542796071
296	0.4539384713
297	0.4537235447
298	0.4533608537
299	0.4528648758
300	0.4524740259
301	0.4519436457
302	0.4516309582
303	0.4511550551
304	0.4507289311
305	0.4501186582
306	0.4496423577
307	0.4491845441
308	0.4489409065
309	0.4484810313
310	0.4479932075
311	0.4475961115
312	0.447275087
313	0.446824518
314	0.4462617096
315	0.4457448891
316	0.445531268
317	0.4452541772
318	0.4447703321
319	0.4444651929
