iter	Passed	Remaining
0	8	8320
1	17	8737
2	26	8642
3	34	8648
4	43	8580
5	51	8536
6	62	8819
7	71	8831
8	80	8837
9	92	9109
10	101	9133
11	110	9133
12	119	9058
13	127	9013
14	136	8957
15	145	8971
16	155	8987
17	164	8957
18	172	8920
19	181	8895
20	189	8851
21	198	8813
22	206	8770
23	214	8738
24	223	8706
25	231	8665
26	239	8646
27	248	8620
28	256	8596
29	265	8569
30	273	8545
31	281	8510
32	289	8487
33	297	8465
34	306	8457
35	315	8438
36	323	8421
37	331	8402
38	340	8380
39	348	8355
40	356	8338
41	364	8322
42	373	8305
43	381	8288
44	389	8270
45	398	8257
46	406	8241
47	414	8226
48	423	8213
49	431	8198
50	440	8194
51	448	8179
52	456	8164
53	465	8149
54	473	8142
55	482	8130
56	490	8120
57	499	8105
58	507	8091
59	515	8077
60	523	8064
61	532	8052
62	540	8039
63	548	8026
64	557	8012
65	565	7999
66	573	7987
67	581	7976
68	590	7967
69	598	7956
70	607	7944
71	615	7934
72	624	7923
73	632	7911
74	640	7900
75	649	7890
76	657	7878
77	665	7863
78	673	7851
79	682	7847
80	690	7836
81	699	7825
82	707	7814
83	715	7804
84	723	7792
85	732	7781
86	740	7770
87	749	7763
88	757	7755
89	765	7740
90	773	7729
91	782	7719
92	791	7723
93	800	7712
94	808	7702
95	816	7690
96	825	7680
97	833	7670
98	841	7661
99	850	7651
100	858	7641
101	866	7630
102	874	7619
103	883	7608
104	891	7598
105	899	7588
106	908	7578
107	916	7568
108	924	7557
109	932	7548
110	941	7536
111	949	7525
112	957	7515
113	965	7505
114	974	7496
115	982	7487
116	990	7477
117	999	7467
118	1007	7458
119	1015	7448
120	1023	7438
121	1032	7429
122	1040	7420
123	1048	7410
124	1056	7398
125	1065	7388
126	1073	7376
127	1081	7367
128	1089	7359
129	1098	7349
130	1106	7342
131	1115	7333
132	1123	7324
133	1131	7314
134	1140	7305
135	1148	7295
136	1156	7286
137	1164	7276
138	1173	7266
139	1181	7257
140	1189	7248
141	1198	7238
142	1206	7229
143	1214	7220
144	1222	7210
145	1231	7201
146	1239	7192
147	1247	7182
148	1255	7173
149	1264	7163
150	1272	7155
151	1280	7146
152	1289	7137
153	1297	7127
154	1305	7118
155	1314	7109
156	1322	7102
157	1330	7092
158	1339	7083
159	1347	7074
160	1355	7065
161	1364	7056
162	1372	7048
163	1381	7039
164	1389	7030
165	1397	7021
166	1405	7012
167	1414	7005
168	1423	6999
169	1431	6989
170	1439	6980
171	1450	6980
172	1459	6978
173	1469	6974
174	1477	6965
175	1485	6956
176	1493	6945
177	1501	6935
178	1510	6928
179	1519	6923
180	1528	6917
181	1538	6914
182	1547	6908
183	1555	6899
184	1564	6891
185	1572	6883
186	1581	6877
187	1590	6868
188	1598	6858
189	1606	6849
190	1615	6840
191	1623	6832
192	1631	6823
193	1640	6814
194	1648	6805
195	1656	6796
196	1665	6787
197	1673	6778
198	1681	6769
199	1690	6760
200	1698	6751
201	1706	6742
202	1715	6733
203	1723	6724
204	1731	6715
205	1739	6706
206	1748	6697
207	1756	6688
208	1765	6680
209	1774	6675
210	1782	6666
211	1791	6658
212	1799	6648
213	1807	6639
214	1815	6630
215	1824	6621
216	1832	6612
217	1841	6605
218	1852	6607
219	1861	6598
220	1869	6589
221	1878	6583
222	1887	6575
223	1896	6571
224	1906	6568
225	1917	6566
226	1926	6560
227	1936	6556
228	1946	6553
229	1956	6550
230	1966	6546
231	1978	6547
232	1987	6543
233	1997	6539
234	2007	6535
235	2017	6529
236	2026	6524
237	2035	6518
238	2046	6515
239	2055	6510
240	2065	6506
241	2081	6518
242	2091	6516
243	2101	6510
244	2111	6505
245	2120	6499
246	2129	6491
247	2140	6491
248	2150	6485
249	2159	6478
250	2169	6472
251	2179	6470
252	2188	6462
253	2197	6454
254	2208	6452
255	2218	6446
256	2227	6441
257	2239	6439
258	2248	6432
259	2257	6425
260	2266	6416
261	2274	6408
262	2283	6399
263	2292	6391
264	2301	6382
265	2309	6373
266	2318	6363
267	2326	6354
268	2335	6345
269	2343	6336
270	2352	6328
271	2360	6319
272	2369	6310
273	2378	6301
274	2386	6292
275	2395	6284
276	2405	6277
277	2413	6268
278	2422	6259
279	2430	6250
280	2439	6241
281	2448	6232
282	2456	6223
283	2465	6214
284	2474	6208
285	2482	6198
286	2491	6189
287	2500	6180
288	2508	6171
289	2517	6163
290	2525	6154
291	2534	6145
292	2543	6138
293	2552	6130
294	2561	6121
295	2569	6111
296	2578	6102
297	2586	6093
298	2595	6084
299	2604	6077
300	2613	6069
301	2622	6060
302	2631	6053
303	2641	6047
304	2651	6040
305	2662	6039
306	2672	6032
307	2681	6024
308	2690	6016
309	2699	6008
310	2709	6003
311	2718	5995
312	2727	5986
313	2736	5978
314	2745	5970
315	2755	5964
316	2764	5956
317	2773	5948
318	2783	5942
319	2794	5937
320	2806	5936
321	2816	5929
322	2826	5923
323	2836	5917
324	2845	5909
325	2857	5908
326	2867	5901
327	2876	5893
328	2885	5885
329	2895	5878
330	2904	5870
331	2914	5863
332	2923	5855
333	2933	5848
334	2942	5840
335	2952	5833
336	2960	5824
337	2970	5818
338	2979	5809
339	2988	5800
340	2997	5792
341	3006	5783
342	3015	5776
343	3025	5769
344	3034	5760
345	3042	5751
346	3052	5744
347	3061	5735
348	3070	5727
349	3079	5718
350	3087	5709
351	3096	5701
352	3106	5693
353	3114	5683
354	3122	5674
355	3131	5664
356	3139	5655
357	3149	5648
358	3158	5639
359	3166	5629
360	3174	5619
361	3183	5611
362	3192	5601
363	3200	5592
364	3209	5583
365	3217	5574
366	3226	5564
367	3234	5554
368	3242	5544
369	3250	5535
370	3259	5525
371	3267	5516
372	3276	5507
373	3285	5498
374	3293	5489
375	3301	5479
376	3310	5470
377	3318	5460
378	3327	5451
379	3336	5443
380	3344	5434
381	3353	5424
382	3361	5414
383	3369	5405
384	3377	5395
385	3386	5386
386	3394	5377
387	3403	5368
388	3412	5359
389	3420	5350
390	3429	5340
391	3437	5331
392	3446	5322
393	3455	5314
394	3463	5305
395	3475	5301
396	3485	5293
397	3495	5286
398	3507	5282
399	3517	5276
400	3528	5270
401	3538	5263
402	3547	5254
403	3555	5245
404	3567	5241
405	3578	5235
406	3587	5227
407	3597	5219
408	3606	5211
409	3616	5203
410	3624	5194
411	3635	5187
412	3644	5179
413	3654	5172
414	3664	5165
415	3674	5158
416	3684	5150
417	3693	5143
418	3704	5137
419	3714	5129
420	3726	5124
421	3735	5116
